"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<span class=\"adesso-location\">von \n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\tCorinna...</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(2) > div:nth-child(1) > p > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.07:1. Recommendation:  change text colour to #837800.","<span onclick=\"location.href='/de/news/blog/index.jsp?blogCategoryID=91535';\" class=\"adesso-blog-category themed\">KI</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<p class=\"adesso-date themed text-tertiary-warmgrey\">25.09.2023\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\n\t\t...</p>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(2) > div:nth-child(1) > p"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<span class=\"adesso-location\">von \n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\tLilian ...</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(3) > div:nth-child(2) > div:nth-child(1) > p > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.07:1. Recommendation:  change text colour to #837800.","<span onclick=\"location.href='/de/news/blog/index.jsp?blogCategoryID=43585';\" class=\"adesso-blog-category themed\">Softwareentwicklung</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(4) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<p class=\"adesso-date themed text-tertiary-warmgrey\">20.09.2023\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\n\t\t...</p>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(4) > div:nth-child(2) > div:nth-child(1) > p"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<span class=\"adesso-location\">von \n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\tDennis-...</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(4) > div:nth-child(2) > div:nth-child(1) > p > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.07:1. Recommendation:  change text colour to #837800.","<span onclick=\"location.href='/de/news/blog/index.jsp?blogCategoryID=43584';\" class=\"adesso-blog-category themed\">Branchen</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(5) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<p class=\"adesso-date themed text-tertiary-warmgrey\">19.09.2023\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\n\t\t...</p>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(5) > div:nth-child(2) > div:nth-child(1) > p"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<span class=\"adesso-location\">von \n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\tSimon B...</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(5) > div:nth-child(2) > div:nth-child(1) > p > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.07:1. Recommendation:  change text colour to #837800.","<span onclick=\"location.href='/de/news/blog/index.jsp?blogCategoryID=43584';\" class=\"adesso-blog-category themed\">Branchen</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(6) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<p class=\"adesso-date themed text-tertiary-warmgrey\">18.09.2023\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\n\t\t...</p>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(6) > div:nth-child(2) > div:nth-child(1) > p"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<span class=\"adesso-location\">von \n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\t\tThomas ...</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(6) > div:nth-child(2) > div:nth-child(1) > p > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.07:1. Recommendation:  change text colour to #837800.","<span onclick=\"location.href='/de/news/blog/index.jsp?blogCategoryID=43584';\" class=\"adesso-blog-category themed\">Branchen</span>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(7) > span"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4.01:1. Recommendation:  change text colour to #7f746c.","<p class=\"adesso-date themed text-tertiary-warmgrey\">15.09.2023\n\t\t\t\t\t\t\t\t\n\t\t\t\t\t\t\t\t\n\t\t...</p>","#adesso-content > main > div:nth-child(4) > div:nth-child(2) > div:nth-child(2) > div:nth-child(7) > div:nth-child(2) > div:nth-child(1) > p"
